73	h5nc	4B					
-	168	SI_ASCIIBig_x	6	225	376	12	14
-	169	SI_ASCIIBig_y	6	239	376	12	14
-	170	SI_ASCIIBig_z	6	1	390	12	14
-	171	SI_ASCIIBig_{	6	15	390	12	14
-	172	SI_ASCIIBig_|	6	29	390	12	14
-	173	SI_ASCIIBig_}	6	43	390	12	14
-	174	SI_ASCIIBig_~	6	57	390	12	14
-	175	SI_ASCIIBig_BS	6	71	390	12	14
-	176	SI_ASCIIBig_End	6	85	390	12	14
-	177	SI_ASCIIBig_Block	6	99	390	12	14
#		DigitCharacter(180~219)					
-	180	SI_DigitCharacter_0	6	0	424	8	8
-	181	SI_DigitCharacter_1	6	8	424	8	8
-	182	SI_DigitCharacter_2	6	16	424	8	8
-	183	SI_DigitCharacter_3	6	24	424	8	8
-	184	SI_DigitCharacter_4	6	32	424	8	8
-	185	SI_DigitCharacter_5	6	40	424	8	8
-	186	SI_DigitCharacter_6	6	48	424	8	8
-	187	SI_DigitCharacter_7	6	56	424	8	8
-	188	SI_DigitCharacter_8	6	64	424	8	8
-	189	SI_DigitCharacter_9	6	72	424	8	8
-	190	SI_DigitCharacter_FadeI_0	6	0	408	8	8
-	191	SI_DigitCharacter_FadeI_1	6	8	408	8	8
-	192	SI_DigitCharacter_FadeI_2	6	16	408	8	8
-	193	SI_DigitCharacter_FadeI_3	6	24	408	8	8
-	194	SI_DigitCharacter_FadeI_4	6	32	408	8	8
-	195	SI_DigitCharacter_FadeI_5	6	40	408	8	8
-	196	SI_DigitCharacter_FadeI_6	6	48	408	8	8
-	197	SI_DigitCharacter_FadeI_7	6	56	408	8	8
-	198	SI_DigitCharacter_FadeI_8	6	64	408	8	8
-	199	SI_DigitCharacter_FadeI_9	6	72	408	8	8
-	200	SI_DigitCharacter_FadeII_0	6	0	416	8	8
-	201	SI_DigitCharacter_FadeII_1	6	8	416	8	8
-	202	SI_DigitCharacter_FadeII_2	6	16	416	8	8
-	203	SI_DigitCharacter_FadeII_3	6	24	416	8	8
-	204	SI_DigitCharacter_FadeII_4	6	32	416	8	8
-	205	SI_DigitCharacter_FadeII_5	6	40	416	8	8
-	206	SI_DigitCharacter_FadeII_6	6	48	416	8	8
-	207	SI_DigitCharacter_FadeII_7	6	56	416	8	8
-	208	SI_DigitCharacter_FadeII_8	6	64	416	8	8
-	209	SI_DigitCharacter_FadeII_9	6	72	416	8	8
-	210	SI_DigitCharacter_Bonus	6	80	424	40	8
#		GameInfo(220~259)					
-	220	SI_GameInfo_0	6	256	175	12	12
-	221	SI_GameInfo_1	6	272	175	12	12
-	222	SI_GameInfo_2	6	288	175	12	12
-	223	SI_GameInfo_3	6	304	175	12	12
-	224	SI_GameInfo_4	6	320	175	12	12
-	225	SI_GameInfo_5	6	336	175	12	12
-	226	SI_GameInfo_6	6	352	175	12	12
-	227	SI_GameInfo_7	6	368	175	12	12
-	228	SI_GameInfo_8	6	384	175	12	12
-	229	SI_GameInfo_9	6	400	175	12	12
-	230	SI_GameInfo_Slash	6	416	175	12	12
-	231	SI_GameInfo_Colon	6	432	175	12	12
-	232	SI_GameInfo_Space	6	336	192	4	12
-	233	SI_GameInfo_Charge	6	256	192	48	14
-	234	SI_GameInfo_ChargeMax	6	304	192	32	14
-	235	SI_GameInfo_GaugeFilled	6	256	208	90	14
-	236	SI_GameInfo_GaugeLevel	6	256	224	36	14
-	237	SI_GameInfo_Caution	6	256	240	56	14
-	238	SI_GameInfo_LastLife	6	256	256	64	14
-	239	SI_GameInfo_Lily	6	256	272	88	14
-	240	SI_GameInfo_GameSet	6	0	176	256	48
-	241	SI_GameInfo_Winner	6	0	224	256	48
-	242	SI_GameInfo_DeadParrot	6	0	272	256	48
-	243	SI_GameInfo_Warning	6	0	96	256	64
-	244	SI_GameInfo_ClassFairy	6	256	96	100	16
-	245	SI_GameInfo_ClassWitch	6	256	112	100	16
-	246	SI_GameInfo_ClassDragon	6	256	128	100	16
-	247	SI_GameInfo_ClassGods	6	256	144	100	16
-	248	SI_GameInfo_SpellLine	6	0	64	256	32
-	249	SI_GameInfo_Ready	6	0	464	128	48
-	250	SI_GameInfo_GameStart	6	144	464	208	48
#		UIOther(260~319)					
-	260	SI_Enemy_X	0	208	368	48	16
-	261	SI_SpellPointDigitCharacter_0	6	320	32	8	11
-	262	SI_SpellPointDigitCharacter_1	6	328	32	8	11
-	263	SI_SpellPointDigitCharacter_2	6	336	32	8	11
-	264	SI_SpellPointDigitCharacter_3	6	344	32	8	11
-	265	SI_SpellPointDigitCharacter_4	6	352	32	8	11
-	266	SI_SpellPointDigitCharacter_5	6	360	32	8	11
-	267	SI_SpellPointDigitCharacter_6	6	368	32	8	11
-	268	SI_SpellPointDigitCharacter_7	6	376	32	8	11
-	269	SI_SpellPointDigitCharacter_8	6	384	32	8	11
-	270	SI_SpellPointDigitCharacter_9	6	392	32	8	11
-	271	SI_SpellPointDigitCharacter_Red_0	6	320	48	8	11
-	272	SI_SpellPointDigitCharacter_Red_1	6	328	48	8	11
-	273	SI_SpellPointDigitCharacter_Red_2	6	336	48	8	11
-	274	SI_SpellPointDigitCharacter_Red_3	6	344	48	8	11
-	275	SI_SpellPointDigitCharacter_Red_4	6	352	48	8	11
-	276	SI_SpellPointDigitCharacter_Red_5	6	360	48	8	11
-	277	SI_SpellPointDigitCharacter_Red_6	6	368	48	8	11
-	278	SI_SpellPointDigitCharacter_Red_7	6	376	48	8	11
-	279	SI_SpellPointDigitCharacter_Red_8	6	384	48	8	11
-	280	SI_SpellPointDigitCharacter_Red_9	6	392	48	8	11
-	281	SI_SpellPointDigitCharacter_Hit	6	400	32	16	11
-	282	SI_SpellPointDigitCharacter_Red_Hit	6	400	48	16	11
-	283	SI_SendItem_00	7	256	256	16	16
-	284	SI_SendItem_01	7	272	256	16	16
-	285	SI_SendItem_02	7	288	256	16	16
-	286	SI_SendItem_03	7	304	256	16	16
-	287	SI_SendItem_04	7	320	256	16	16
-	288	SI_SendItem_05	7	336	256	16	16
-	289	SI_SendItem_06	7	352	256	16	16
-	290	SI_SendItem_07	7	368	256	16	16
-	291	SI_SendItem_08	7	384	256	16	16
-	292	SI_SendItem_09	7	400	256	16	16
-	293	SI_SendItem_10	7	416	256	16	16
-	294	SI_SendItem_11	7	432	256	16	16
-	295	SI_SendItem_12	7	448	256	16	16
-	296	SI_SendItem_13	7	464	256	16	16
-	297	SI_SendItem_14	7	480	256	16	16
-	298	SI_SendItem_15	7	496	256	16	16
-	299	SI_Player_Point	7	256	272	64	64
-	300	SI_Player_BombItem	7	320	272	64	64
-	301	SI_Enemy_Collapse_R	7	384	272	64	64
-	302	SI_Enemy_Collapse_B	7	448	272	64	64
-	303	SI_Enemy_Collapse_Y	7	256	272	64	64
-	304	SI_Enemy_Collapse_G	7	320	272	64	64
-	305	SI_Boss_TimeCircle	7	384	334	128	128
-	306	SI_Item_Guard	7	256	464	16	16
-	307	SI_Item_Bullet	7	272	464	16	16
-	308	SI_Item_Ex	7	288	464	16	16
-	309	SI_Item_Point	7	304	464	16	16
-	310	SI_Player_ShotItem	7	320	480	32	32
#		Panel(320~399)					
-	320	SI_FrontPanel_Left_0	6	496	0	16	448
-	321	SI_FrontPanel_Right_0	6	448	0	16	448
-	322	SI_FrontPanel_Top_0	6	0	0	320	16
-	323	SI_FrontPanel_Bottom_0	6	0	32	320	16
-	324	SI_FrontPanel_Left_1	6	464	0	16	448
-	325	SI_FrontPanel_Right_1	6	480	0	16	448
-	326	SI_FrontPanel_Top_1	6	0	16	320	16
-	327	SI_FrontPanel_Bottom_1	6	0	48	320	16
-	328	SI_FrontPanel_HiScore	5	256	0	80	18
-	329	SI_FrontPanel_SpellPoint	6	320	0	80	30
-	330	SI_FrontPanel_ComboBar	6	320	60	74	5
-	331	SI_FrontPanel_WinIndi	6	416	16	16	16
-	332	SI_FrontPanel_SlotBack	6	0	160	288	8
-	333	SI_FrontPanel_Slot	6	16	168	256	8
-	334	SI_FrontPanel_LifeIndi_Full	6	400	0	16	16
-	335	SI_FrontPanel_LifeIndi_Half	6	416	0	16	16
-	336	SI_FrontPanel_LifeIndi_Empty	6	432	0	16	16
-	337	SI_Front_Text	5	464	160	48	352
#		Face(400~499)					
-	400	SI_Face_01	58	0	0	-1	-1
-	401	SI_Face_02	71	0	0	-1	-1
-	402	SI_Face_03	85	0	0	-1	-1
-	403	SI_PlayerFace_01	88	0	0	-1	-1
-	404	SI_PlayerFace_02	87	0	0	-1	-1
-	405	SI_PlayerFace_03	80	0	0	-1	-1
-	406	SI_PlayerFace_04	78	0	0	-1	-1
-	407	SI_PlayerFace_05	81	0	0	-1	-1
-	408	SI_PlayerFace_06	82	0	0	-1	-1
-	409	SI_PlayerFace_07	86	0	0	-1	-1
#		MusicName(500~549)					
-	500	SI_MusicName_01	163	0	0	256	13
-	501	SI_MusicName_02	163	0	13	256	13
-	502	SI_MusicName_03	163	0	26	256	13
-	503	SI_MusicName_04	163	0	39	256	13
-	504	SI_MusicName_05	163	0	52	256	13
#		PlayerGhost(550~649)					
-	550	SI_PlayerGhost_01_1	10	64	144	16	16
-	551	SI_PlayerGhost_01_2	10	80	144	16	16
-	552	SI_PlayerGhost_02_1	11	176	144	16	16
-	553	SI_PlayerGhost_02_2	11	160	144	16	16
-	554	SI_PlayerGhost_03	12	128	144	32	32
-	555	SI_PlayerGhost_04_1	28	128	192	48	48
-	556	SI_PlayerGhost_04_2	28	32	192	32	16
-	557	SI_PlayerGhost_05	29	64	144	16	16
-	558	SI_PlayerGhost_06	30	192	144	32	32
-	559	SI_PlayerGhost_07	46	0	0	0	0
#		Scene(650~749)					
-	650	SI_TitleScene	160	0	0	-1	-1
-	651	SI_SelectScene	161	0	0	-1	-1
-	652	SI_BG_01_1	187	0	0	512	512
-	653	SI_BG_01_2	188	0	0	-1	-1
-	654	SI_BG_02_1	209	0	0	-1	-1
-	655	SI_BG_02_2	210	0	0	-1	-1
-	656	SI_BG_03_1	235	0	0	384	448
-	657	SI_BG_03_2	236	0	0	384	384
-	658	SI_PLBG_01_1	227	0	0	-1	-1
-	659	SI_PLBG_01_2	228	0	0	-1	-1
-	660	SI_PLBG_02_1	229	0	0	-1	-1
-	661	SI_PLBG_02_2	230	0	0	384	384
-	662	SI_PLBG_03_1	226	0	0	-1	-1
-	663	SI_PLBG_04_1	222	0	0	-1	-1
-	664	SI_PLBG_04_2	223	0	0	384	384
#		Enemy(750~849)					
-	750	SI_EnemySprite_Blue_0	4	0	0	32	32
-	751	SI_EnemySprite_Blue_1	4	32	0	32	32
-	752	SI_EnemySprite_Blue_2	4	64	0	32	32
-	753	SI_EnemySprite_Blue_3	4	96	0	32	32
-	754	SI_EnemySprite_Blue_4	4	0	32	32	32
-	755	SI_EnemySprite_Blue_5	4	32	32	32	32
-	756	SI_EnemySprite_Blue_6	4	64	32	32	32
-	757	SI_EnemySprite_Blue_7	4	96	32	32	32
-	758	SI_EnemySprite_Blue_8	4	0	64	32	32
-	759	SI_EnemySprite_Blue_9	4	32	64	32	32
-	760	SI_EnemySprite_Blue_10	4	64	64	32	32
-	761	SI_EnemySprite_Blue_11	4	96	64	32	32
-	762	SI_EnemySprite_Red_0	4	0	96	48	32
-	763	SI_EnemySprite_Red_1	4	48	96	48	32
-	764	SI_EnemySprite_Red_2	4	96	96	48	32
-	765	SI_EnemySprite_Red_3	4	144	96	48	32
-	766	SI_EnemySprite_Red_4	4	0	128	48	32
-	767	SI_EnemySprite_Red_5	4	48	128	48	32
-	768	SI_EnemySprite_Red_6	4	96	128	48	32
-	769	SI_EnemySprite_Red_7	4	144	128	48	32
-	770	SI_EnemySprite_Red_8	4	0	160	48	32
-	771	SI_EnemySprite_Red_9	4	48	160	48	32
-	772	SI_EnemySprite_Red_10	4	96	160	48	32
-	773	SI_EnemySprite_Red_11	4	144	160	48	32
-	774	SI_EnemySprite_Green_0	4	0	192	48	48
-	775	SI_EnemySprite_Green_1	4	48	192	48	48
-	776	SI_EnemySprite_Green_2	4	96	192	48	48
-	777	SI_EnemySprite_Green_3	4	144	192	48	48
-	778	SI_EnemySprite_Green_4	4	0	240	48	48
-	779	SI_EnemySprite_Green_5	4	48	240	48	48
-	780	SI_EnemySprite_Green_6	4	96	240	48	48
-	781	SI_EnemySprite_Green_7	4	144	240	48	48
-	782	SI_EnemySprite_Green_8	4	0	288	48	48
-	783	SI_EnemySprite_Green_9	4	48	288	48	48
-	784	SI_EnemySprite_Green_10	4	96	288	48	48
-	785	SI_EnemySprite_Green_11	4	144	288	48	48
-	786	SI_EnemySprite_Big_0	4	192	0	64	64
-	787	SI_EnemySprite_Big_1	4	256	0	64	64
-	788	SI_EnemySprite_Big_2	4	320	0	64	64
-	789	SI_EnemySprite_Big_3	4	384	0	64	64
-	790	SI_EnemySprite_Big_4	4	192	64	64	64
-	791	SI_EnemySprite_Big_5	4	256	64	64	64
-	792	SI_EnemySprite_Big_6	4	320	64	64	64
-	793	SI_EnemySprite_Big_7	4	384	64	64	64
-	794	SI_EnemySprite_Big_8	4	192	128	64	64
-	795	SI_EnemySprite_Big_9	4	256	128	64	64
-	796	SI_EnemySprite_Big_10	4	320	128	64	64
-	797	SI_EnemySprite_Big_11	4	384	128	64	64
-	798	SI_EnemySprite_Lily_0	4	192	320	64	64
-	799	SI_EnemySprite_Lily_1	4	256	320	64	64
-	800	SI_EnemySprite_Lily_2	4	320	320	64	64
-	801	SI_EnemySprite_Lily_3	4	384	320	64	64
-	802	SI_EnemySprite_Lily_4	4	192	384	64	64
-	803	SI_EnemySprite_Lily_5	4	256	384	64	64
-	804	SI_EnemySprite_Lily_6	4	320	384	64	64
-	805	SI_EnemySprite_Lily_7	4	384	384	64	64
-	806	SI_EnemySprite_Lily_8	4	192	448	64	64
-	807	SI_EnemySprite_Lily_9	4	256	448	64	64
-	808	SI_EnemySprite_Lily_10	4	320	448	64	64
-	809	SI_EnemySprite_Lily_11	4	384	448	64	64
#		Ghost(850~949)					
#		Unknown(950~999)					
#		PlayerBullet(1000~1400)					
-	1000	SI_PlayerBullet_0	10	0	176	64	16
-	1001	SI_PlayerBullet_1	10	16	144	16	16
-	1002	SI_PlayerBullet_2	10	32	144	16	16
-	1003	SI_PlayerBullet_3	10	48	144	16	16
-	1004	SI_PlayerBullet_4	10	0	160	16	16
-	1005	SI_PlayerBullet_5	10	16	160	16	16
-	1006	SI_PlayerBullet_6	10	32	160	16	16
-	1007	SI_PlayerBullet_7	10	48	160	16	16
-	1008	SI_PlayerBullet_8	11	0	144	32	16
-	1009	SI_PlayerBullet_9	11	32	144	32	16
-	1010	SI_PlayerBullet_10	11	64	144	32	16
-	1011	SI_PlayerBullet_11	11	96	144	32	16
-	1012	SI_PlayerBullet_12	11	16	160	16	16
-	1013	SI_PlayerBullet_13	11	16	160	16	16
-	1014	SI_PlayerBullet_14	11	16	160	16	16
-	1015	SI_PlayerBullet_15	11	16	160	16	16
-	1016	SI_PlayerBullet_16	12	0	160	32	16
-	1017	SI_PlayerBullet_17	12	16	160	32	16
-	1018	SI_PlayerBullet_18	12	32	160	32	16
-	1019	SI_PlayerBullet_19	12	64	160	32	16
-	1020	SI_PlayerBullet_20	12	0	144	32	16
-	1021	SI_PlayerBullet_21	12	16	144	32	16
-	1022	SI_PlayerBullet_22	12	32	144	32	16
-	1023	SI_PlayerBullet_23	12	48	144	32	16
-	1024	SI_PlayerBullet_24	28	64	240	48	16
-	1025	SI_PlayerBullet_25	28	64	240	48	16
-	1026	SI_PlayerBullet_26	28	64	240	48	16
-	1027	SI_PlayerBullet_27	28	64	240	48	16
-	1028	SI_PlayerBullet_28	28	64	240	48	16
-	1029	SI_PlayerBullet_29	28	64	240	48	16
-	1030	SI_PlayerBullet_30	28	64	240	48	16
-	1031	SI_PlayerBullet_31	28	64	240	48	16
-	1032	SI_PlayerBullet_32	29	0	176	64	16
-	1033	SI_PlayerBullet_33	29	16	160	16	16
-	1034	SI_PlayerBullet_34	29	32	160	16	16
-	1035	SI_PlayerBullet_35	29	48	160	16	16
-	1036	SI_PlayerBullet_36	29	0	144	16	16
-	1037	SI_PlayerBullet_37	29	16	144	16	16
-	1038	SI_PlayerBullet_38	29	32	144	16	16
-	1039	SI_PlayerBullet_39	29	48	144	16	16
-	1040	SI_PlayerBullet_40	30	0	144	32	16
-	1041	SI_PlayerBullet_41	30	32	144	32	16
-	1042	SI_PlayerBullet_42	30	64	144	32	16
-	1043	SI_PlayerBullet_43	30	96	144	32	16
-	1044	SI_PlayerBullet_44	30	0	176	256	16
-	1045	SI_PlayerBullet_45	30	0	176	256	16
-	1046	SI_PlayerBullet_46	30	0	176	256	16
-	1047	SI_PlayerBullet_47	30	0	176	256	16
-	1048	SI_PlayerBullet_48	31	0	160	64	16
-	1049	SI_PlayerBullet_49	31	0	160	64	16
-	1050	SI_PlayerBullet_50	31	0	160	64	16
-	1051	SI_PlayerBullet_51	31	0	160	64	16
-	1052	SI_PlayerBullet_52	31	0	208	64	16
-	1053	SI_PlayerBullet_53	31	0	208	64	16
-	1054	SI_PlayerBullet_54	31	0	208	64	16
-	1055	SI_PlayerBullet_55	31	0	208	64	16
-	1056	SI_PlayerBullet_56	25	160	144	32	32
-	1057	SI_PlayerBullet_57	25	64	144	64	64
-	1058	SI_PlayerBullet_58	25	64	144	64	64
-	1059	SI_PlayerBullet_59	25	64	144	64	64
-	1060	SI_PlayerBullet_60	25	0	0	32	48
-	1061	SI_PlayerBullet_61	25	64	144	64	64
-	1062	SI_PlayerBullet_62	25	64	144	64	64
-	1063	SI_PlayerBullet_63	25	64	144	64	64
